subject,id,show,direction,order,amount,origin
年初未分配利润,238, 年初未分配利润,贷,936,3161520.84,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""4104"", ""subject_name"": ""利润分配""}, ""value_type"": ""initial_amount""}}]"
%主营业务收入%+%其他业务收入%+%利息收入%+%已赚保费%+%手续费及佣金收入%-%主营业务成本%-%其他业务成本%-%利息支出%-%手续费及佣金支出%-%退保金%-%赔付支出净额%-%提取保险合同准备金净额%-%保单红利支出%-%分保费用%-%税金及附加%-%销售费用%-%管理费用%-%研发费用%-%财务费用%+%其他收益%+%净敞口套期收益%+%公允价值变动收益%-%资产减值损失%-%信用减值损失%+%资产处置收益%+%汇兑收益%+%营业外收入%-%营业外支出%-%所得税费用%+%年初未分配利润%+%租赁收入%,239, 九、可供分配的利润,,937,8983399.09000002,
利润分配--提取法定盈余公积,240, 减：提取法定盈余公积,贷,938,0.0,[]
利润分配--提取法定公益金,241, 提取法定公益金,贷,939,0.0,[]
利润分配--提取职工奖励及福利基金,242, 提取职工奖励及福利基金,贷,940,0.0,
利润分配--提取储备基金,243, 提取储备基金,贷,941,0.0,[]
利润分配--提取企业发展基金,244, 提取企业发展基金,贷,942,0.0,[]
利润分配--利润归还投资,245, 利润归还投资,贷,943,0.0,[]
%主营业务收入%+%其他业务收入%+%利息收入%+%已赚保费%+%手续费及佣金收入%-%主营业务成本%-%其他业务成本%-%利息支出%-%手续费及佣金支出%-%退保金%-%赔付支出净额%-%提取保险合同准备金净额%-%保单红利支出%-%分保费用%-%税金及附加%-%销售费用%-%管理费用%-%研发费用%-%财务费用%+%其他收益%+%净敞口套期收益%+%公允价值变动收益%-%资产减值损失%-%信用减值损失%+%资产处置收益%+%汇兑收益%+%营业外收入%-%营业外支出%-%所得税费用%+%年初未分配利润%-%利润分配--提取法定盈余公积%-%利润分配--提取法定公益金%-%利润分配--提取职工奖励及福利基金%-%利润分配--提取储备基金%-%利润分配--利润归还投资%+%租赁收入%,246, 十、可供投资者分配的利润,,944,8983399.09000002,
利润分配--应付优先股股利,247, 减：应付优先股股利,贷,945,0.0,[]
利润分配--提取任意盈余公积,248, 提取任意盈余公积,贷,946,0.0,[]
利润分配--应付普通股股利,249, 应付普通股股利,贷,947,300000.0,"[{""table_name"": ""xsz"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""month"": 9, ""vocher_type"": ""记"", ""vocher_num"": 28, ""subentry_num"": 2}, ""value_type"": ""debit""}}, {""table_name"": ""xsz"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""-"", ""location"": {""month"": 9, ""vocher_type"": ""记"", ""vocher_num"": 28, ""subentry_num"": 2}, ""value_type"": ""credit""}}]"
利润分配--转作资本的普通股股利,250, 转作资本的普通股股利,贷,948,7000000.0,"[{""table_name"": ""xsz"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""month"": 12, ""vocher_type"": ""记"", ""vocher_num"": 198, ""subentry_num"": 5}, ""value_type"": ""debit""}}, {""table_name"": ""xsz"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""-"", ""location"": {""month"": 12, ""vocher_type"": ""记"", ""vocher_num"": 198, ""subentry_num"": 5}, ""value_type"": ""credit""}}]"
%主营业务收入%+%其他业务收入%+%利息收入%+%已赚保费%+%手续费及佣金收入%-%主营业务成本%-%其他业务成本%-%利息支出%-%手续费及佣金支出%-%退保金%-%赔付支出净额%-%提取保险合同准备金净额%-%保单红利支出%-%分保费用%-%税金及附加%-%销售费用%-%管理费用%-%研发费用%-%财务费用%+%其他收益%+%净敞口套期收益%+%公允价值变动收益%-%资产减值损失%-%信用减值损失%+%资产处置收益%+%汇兑收益%+%营业外收入%-%营业外支出%-%所得税费用%+%年初未分配利润%-%利润分配--提取法定盈余公积%-%利润分配--提取法定公益金%-%利润分配--提取职工奖励及福利基金%-%利润分配--提取储备基金%-%利润分配--利润归还投资%-%利润分配--应付优先股股利%-%利润分配--提取任意盈余公积%-%利润分配--应付普通股股利%-%利润分配--转作资本的普通股股利%+%租赁收入%,251, 十一、未分配利润,,949,1683399.0900000203,
