subject,id,show,direction,order,amount,origin
%库存现金%+%银行存款%+%其他货币资金%+%结算备付金%+%拆出资金%+%交易性金融资产%+%以公允价值计量且其变动计入当期损益的金融资产%+%衍生金融资产%+%应收票据%+%应收账款%-%坏账准备--应收账款%+%应收款项融资%+%预付款项%+%应收股利%+%应收利息%+%应收保费%+%应收分保账款%+%应收分保合同准备金%+%其他应收款%-%坏账准备--其他应收款%+%买入返售金融资产%+%物资采购%+%材料采购%+%在途物资%+%原材料%+%材料成本差异%+%库存商品%+%发出商品%+%自制半成品%+%产成品%+%商品进销差价%+%委托加工物资%+%周转材料%+%委托代销商品%+%受托代销商品%-%代销商品款%+%分期收款发出商品%+%包装物及低值易耗品%+%包装物%+%低值易耗品%+%消耗性物物资产%+%生产成本%+%劳务成本%+%制造费用%+%开发成本%-%存货跌价准备%+%合同资产%+%持有待售资产%+%一年内到期的非流动资产%+%其他流动资产%+%内部往来%+%应收补贴款%+%待处理财产损溢%+%发放委托贷款及垫款%+%债权投资%+%可供出售金融资产%-%可供出售金融资产减值准备%+%其他债权投资%+%持有至到期投资%-%持有至到期投资减值准备%+%长期应收款%+%长期股权投资%-%长期股权投资减值准备%+%其他权益工具投资%+%其他非流动金融资产%+%投资性房地产%+%固定资产%-%累计折旧%-%固定资产减值准备%+%在建工程%-%在建工程减值准备%+%生产性生物资产%+%油气资产%+%使用权资产%+%无形资产%-%累计摊销%-%无形资产减值准备%+%开发支出%+%商誉%-%商誉减值准备%+%长期待摊费用%+%递延所得税资产%+%其他非流动资产%-%未确认融资收益%+%内部存款%+%待摊费用%+%工程物资%,107, 资产总计,,301,50051955.51000006,
,108, 流动负债：,,302,0.0,
短期借款,109, 短期借款,贷,303,3500000.0,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""2001"", ""subject_name"": ""短期借款""}, ""value_type"": ""terminal_amount""}}]"
向中央银行借款,110, 向中央银行借款,贷,304,0.0,
吸收存款及同业存放,111, 吸收存款及同业存放,贷,305,0.0,
拆入资金,112, 拆入资金,贷,306,0.0,
交易性金融负债,113, 交易性金融负债,贷,307,0.0,
以公允价值计量且其变动计入当期损益的金融负债,114, 以公允价值计量且其变动计入当期损益的金融负债,贷,308,0.0,
衍生金融负债,115, 衍生金融负债,贷,309,0.0,
应付票据,116, 应付票据,贷,310,4000000.0,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""2201"", ""subject_name"": ""应付票据""}, ""value_type"": ""terminal_amount""}}]"
应付账款,117, 应付账款,贷,311,17637910.109999955,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""2202"", ""subject_name"": ""应付账款""}, ""value_type"": ""terminal_amount""}}]"
预收款项,118, 预收款项,贷,312,20190.0,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""2203"", ""subject_name"": ""预收款项""}, ""value_type"": ""terminal_amount""}}]"
卖出回购金融资产款,119, 卖出回购金融资产款,贷,313,0.0,
应付手续费及佣金,120, 应付手续费及佣金,贷,314,0.0,
应付职工薪酬,121, 应付职工薪酬,贷,315,1800000.0,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""2211"", ""subject_name"": ""应付职工薪酬""}, ""value_type"": ""terminal_amount""}}]"
应付福利费,122, 应付福利费,贷,316,0.0,
其他应交款,123, 其他应交款,贷,317,0.0,
应付利息,124,应付利息,贷,318,0.0,
应付股利,125,应付股利,贷,319,0.0,
应交税费,126, 应交税费,贷,320,304553.71000000834,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""2221"", ""subject_name"": ""应交税费""}, ""value_type"": ""terminal_amount""}}]"
预提费用,127, 预提费用,贷,321,0.0,
其他应付款,128, 其他应付款,贷,322,767903.9200000009,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""2241"", ""subject_name"": ""其他应付款""}, ""value_type"": ""terminal_amount""}}]"
应付分保账款,129, 应付分保账款,贷,323,0.0,
合同负债,130, 合同负债,贷,324,0.0,
保险合同准备金,131, 保险合同准备金,贷,325,0.0,
代理买卖证券款,132, 代理买卖证券款,贷,326,0.0,
代理承销证券款,133, 代理承销证券款,贷,327,0.0,
持有待售负债,134, 持有待售负债,贷,328,0.0,
一年内到期的非流动负债,135, 一年内到期的非流动负债,贷,329,0.0,
其他流动负债,136, 其他流动负债,贷,330,0.0,
%短期借款%+%向中央银行借款%+%吸收存款及同业存放%+%拆入资金%+%交易性金融负债%+%以公允价值计量且其变动计入当期损益的金融负债%+%衍生金融负债%+%应付票据%+%应付账款%+%预收款项%+%卖出回购金融资产款%+%应付手续费及佣金%+%应付职工薪酬%+%应交税费%+%其他应付款%+%应付分保账款%+%合同负债%+%保险合同准备金%+%代理买卖证券款%+%代理承销证券款%+%持有待售负债%+%一年内到期的非流动负债%+%其他流动负债%+%其他应交款%+%预提费用%+%应付利息%+%应付股利%,137, 流动负债合计,,400,28030557.739999965,
,138, 非流动负债：,,401,0.0,
长期借款,139, 长期借款,贷,402,0.0,
应付债券,140, 应付债券,贷,403,0.0,
租赁负债,141, 租赁负债,贷,404,0.0,
长期应付款,142, 长期应付款,贷,405,0.0,
未确认融资费用,143, 未确认融资费用,借,406,0.0,
%长期应付款%-%未确认融资费用%,144, 长期应付款净额,,407,0.0,
专项应付款,145, 专项应付款,贷,408,0.0,
长期应付职工薪酬,146, 长期应付职工薪酬,贷,409,0.0,
预计负债,147, 预计负债,贷,410,0.0,
递延收益,148, 递延收益,贷,411,0.0,
递延所得税负债,149, 递延所得税负债,贷,412,0.0,
附属企业往来,150, 附属企业往来,贷,413,0.0,
其他非流动负债,151, 其他非流动负债,贷,414,0.0,
%长期借款%+%应付债券%+%租赁负债%+%长期应付款%+%长期应付职工薪酬%+%预计负债%+%递延收益%+%递延所得税负债%+%其他非流动负债%-%未确认融资费用%+%专项应付款%+%附属企业往来%,152, 非流动负债合计,,500,0.0,
%短期借款%+%向中央银行借款%+%吸收存款及同业存放%+%拆入资金%+%交易性金融负债%+%以公允价值计量且其变动计入当期损益的金融负债%+%衍生金融负债%+%应付票据%+%应付账款%+%预收款项%+%卖出回购金融资产款%+%应付手续费及佣金%+%应付职工薪酬%+%应交税费%+%其他应付款%+%应付分保账款%+%合同负债%+%保险合同准备金%+%代理买卖证券款%+%代理承销证券款%+%持有待售负债%+%一年内到期的非流动负债%+%其他流动负债%+%其他应交款%+%预提费用%+%长期借款%+%应付债券%+%租赁负债%+%长期应付款%+%长期应付职工薪酬%+%预计负债%+%递延收益%+%递延所得税负债%+%其他非流动负债%-%未确认融资费用%+%应付利息%+%应付股利%+%专项应付款%+%附属企业往来%,153, 负债合计,,501,28030557.739999965,
,154, 股东权益：,,502,0.0,
股本(实收资本）,155, 股本(实收资本）,贷,503,20000000.0,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""4001"", ""subject_name"": ""股本(实收资本）""}, ""value_type"": ""terminal_amount""}}]"
其他权益工具,156, 其他权益工具,贷,504,0.0,
资本公积,157, 资本公积,贷,505,65941.84,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""4002"", ""subject_name"": ""资本公积""}, ""value_type"": ""terminal_amount""}}]"
库存股,158, 减：库存股,贷,506,0.0,
其他综合收益,159, 其他综合收益,贷,507,0.0,
专项储备,160, 专项储备,贷,508,0.0,
盈余公积,161, 盈余公积,贷,509,272056.84,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""4101"", ""subject_name"": ""盈余公积""}, ""value_type"": ""terminal_amount""}}]"
一般风险准备,162, 一般风险准备,贷,510,0.0,
%主营业务收入%+%其他业务收入%+%利息收入%+%已赚保费%+%手续费及佣金收入%-%主营业务成本%-%其他业务成本%-%利息支出%-%手续费及佣金支出%-%退保金%-%赔付支出净额%-%提取保险合同准备金净额%-%保单红利支出%-%分保费用%-%税金及附加%-%销售费用%-%管理费用%-%研发费用%-%财务费用%+%其他收益%+%净敞口套期收益%+%公允价值变动收益%-%资产减值损失%-%信用减值损失%+%资产处置收益%+%汇兑收益%+%营业外收入%-%营业外支出%-%所得税费用%+%年初未分配利润%-%利润分配--提取法定盈余公积%-%利润分配--提取法定公益金%-%利润分配--提取职工奖励及福利基金%-%利润分配--提取储备基金%-%利润分配--利润归还投资%-%利润分配--应付优先股股利%-%利润分配--提取任意盈余公积%-%利润分配--应付普通股股利%-%利润分配--转作资本的普通股股利%+%租赁收入%,163, 未分配利润,贷,511,1683399.0900000203,
%股本(实收资本）%+%其他权益工具%+%资本公积%-%库存股%+%其他综合收益%+%专项储备%+%盈余公积%+%一般风险准备%+%主营业务收入%+%其他业务收入%+%利息收入%+%已赚保费%+%手续费及佣金收入%-%主营业务成本%-%其他业务成本%-%利息支出%-%手续费及佣金支出%-%退保金%-%赔付支出净额%-%提取保险合同准备金净额%-%保单红利支出%-%分保费用%-%税金及附加%-%销售费用%-%管理费用%-%研发费用%-%财务费用%+%其他收益%+%净敞口套期收益%+%公允价值变动收益%-%资产减值损失%-%信用减值损失%+%资产处置收益%+%汇兑收益%+%营业外收入%-%营业外支出%-%所得税费用%+%年初未分配利润%-%利润分配--提取法定盈余公积%-%利润分配--提取法定公益金%-%利润分配--提取职工奖励及福利基金%-%利润分配--提取储备基金%-%利润分配--利润归还投资%-%利润分配--应付优先股股利%-%利润分配--提取任意盈余公积%-%利润分配--应付普通股股利%-%利润分配--转作资本的普通股股利%+%租赁收入%,164, 归属于母公司股东权益合计,,600,22021397.770000026,
少数股东权益,165, 少数股东权益,贷,601,0.0,
%股本(实收资本）%+%其他权益工具%+%资本公积%-%库存股%+%其他综合收益%+%专项储备%+%盈余公积%+%一般风险准备%+%主营业务收入%+%其他业务收入%+%利息收入%+%已赚保费%+%手续费及佣金收入%-%主营业务成本%-%其他业务成本%-%利息支出%-%手续费及佣金支出%-%退保金%-%赔付支出净额%-%提取保险合同准备金净额%-%保单红利支出%-%分保费用%-%税金及附加%-%销售费用%-%管理费用%-%研发费用%-%财务费用%+%其他收益%+%净敞口套期收益%+%公允价值变动收益%-%资产减值损失%-%信用减值损失%+%资产处置收益%+%汇兑收益%+%营业外收入%-%营业外支出%-%所得税费用%+%年初未分配利润%-%利润分配--提取法定盈余公积%-%利润分配--提取法定公益金%-%利润分配--提取职工奖励及福利基金%-%利润分配--提取储备基金%-%利润分配--利润归还投资%-%利润分配--应付优先股股利%-%利润分配--提取任意盈余公积%-%利润分配--应付普通股股利%-%利润分配--转作资本的普通股股利%+%租赁收入%+%少数股东权益%,166, 股东权益合计,,602,22021397.770000026,
%短期借款%+%向中央银行借款%+%吸收存款及同业存放%+%拆入资金%+%交易性金融负债%+%以公允价值计量且其变动计入当期损益的金融负债%+%衍生金融负债%+%应付票据%+%应付账款%+%预收款项%+%卖出回购金融资产款%+%应付手续费及佣金%+%应付职工薪酬%+%应交税费%+%其他应付款%+%应付分保账款%+%合同负债%+%保险合同准备金%+%代理买卖证券款%+%代理承销证券款%+%持有待售负债%+%一年内到期的非流动负债%+%其他流动负债%+%其他应交款%+%预提费用%+%长期借款%+%应付债券%+%租赁负债%+%长期应付款%+%长期应付职工薪酬%+%预计负债%+%递延收益%+%递延所得税负债%+%其他非流动负债%-%未确认融资费用%+%应付利息%+%应付股利%+%专项应付款%+%附属企业往来%+%股本(实收资本）%+%其他权益工具%+%资本公积%-%库存股%+%其他综合收益%+%专项储备%+%盈余公积%+%一般风险准备%+%主营业务收入%+%其他业务收入%+%利息收入%+%已赚保费%+%手续费及佣金收入%-%主营业务成本%-%其他业务成本%-%利息支出%-%手续费及佣金支出%-%退保金%-%赔付支出净额%-%提取保险合同准备金净额%-%保单红利支出%-%分保费用%-%税金及附加%-%销售费用%-%管理费用%-%研发费用%-%财务费用%+%其他收益%+%净敞口套期收益%+%公允价值变动收益%-%资产减值损失%-%信用减值损失%+%资产处置收益%+%汇兑收益%+%营业外收入%-%营业外支出%-%所得税费用%+%年初未分配利润%-%利润分配--提取法定盈余公积%-%利润分配--提取法定公益金%-%利润分配--提取职工奖励及福利基金%-%利润分配--提取储备基金%-%利润分配--利润归还投资%-%利润分配--应付优先股股利%-%利润分配--提取任意盈余公积%-%利润分配--应付普通股股利%-%利润分配--转作资本的普通股股利%+%租赁收入%+%少数股东权益%,167, 负债和股东权益总计,,603,50051955.510000005,
%主营业务收入%+%其他业务收入%+%利息收入%+%已赚保费%+%手续费及佣金收入%+%租赁收入%,168, 一、营业总收入,,604,93954174.76000002,
%主营业务收入%+%其他业务收入%,169, 其中：营业收入,贷,605,93954174.76000002,
主营业务收入,170,          主营业务收入,贷,606,93954174.76000002,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""6001"", ""subject_name"": ""主营业务收入""}, ""value_type"": ""credit_amount""}}]"
其他业务收入,171,          其他业务收入,贷,607,0.0,
租赁收入,172, 租赁收入,贷,608,0.0,
利息收入,173, 利息收入,贷,609,0.0,
已赚保费,174, 已赚保费,贷,610,0.0,
手续费及佣金收入,175, 手续费及佣金收入,贷,611,0.0,
%主营业务成本%+%其他业务成本%+%利息支出%+%手续费及佣金支出%+%退保金%+%赔付支出净额%+%提取保险合同准备金净额%+%保单红利支出%+%分保费用%+%税金及附加%+%销售费用%+%管理费用%+%研发费用%+%财务费用%+%资产减值损失%+%信用减值损失%,176, 二、营业总成本,,700,87853411.08,
%主营业务成本%+%其他业务成本%,177, 其中：营业成本,借,701,71189903.53,
主营业务成本,178,  主营业务成本,借,702,71189903.53,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""6401"", ""subject_name"": ""主营业务成本""}, ""value_type"": ""debit_amount""}}]"
其他业务成本,179,  其他业务成本,借,703,0.0,
利息支出,180, 利息支出,借,704,0.0,
手续费及佣金支出,181, 手续费及佣金支出,借,705,0.0,
退保金,182, 退保金,借,706,0.0,
赔付支出净额,183, 赔付支出净额,借,707,0.0,
提取保险合同准备金净额,184, 提取保险合同准备金净额,借,708,0.0,
保单红利支出,185, 保单红利支出,借,709,0.0,
分保费用,186, 分保费用,借,710,0.0,
税金及附加,187, 税金及附加,借,711,811196.3099999999,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""6403"", ""subject_name"": ""税金及附加""}, ""value_type"": ""debit_amount""}}]"
销售费用,188, 销售费用,借,712,3033445.91,"[{""table_name"": ""km"", ""start_time"": ""2016-01-01"", ""end_time"": ""2016-12-31"", ""company_name"": ""深圳市众恒世讯科技股份有限公司"", ""values"": {""sign"": ""+"", ""location"": {""subject_num"": ""6601"", ""subject_name"": ""销售费用""}, ""value_type"": ""debit_amount""}}]"
